Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Ease of Online booking,Food and drink,satisfaction
Loyal Customer,36,Business travel,Business,2159,4,4,4,satisfied
Loyal Customer,26,Personal Travel,Eco,928,4,4,2,neutral or dissatisfied
Loyal Customer,33,Business travel,Business,2447,4,5,4,neutral or dissatisfied
Loyal Customer,45,Business travel,Business,3923,5,5,2,satisfied
Loyal Customer,40,Business travel,Business,2068,4,3,3,satisfied
Loyal Customer,47,Business travel,Eco,978,4,3,4,satisfied
Loyal Customer,46,Business travel,Business,1670,1,1,5,satisfied
Loyal Customer,34,Business travel,Eco,522,4,4,4,satisfied
Loyal Customer,41,Personal Travel,Eco,296,3,2,5,neutral or dissatisfied
disloyal Customer,37,Business travel,Eco,304,1,1,2,neutral or dissatisfied
disloyal Customer,25,Business travel,Business,547,2,2,4,neutral or dissatisfied
disloyal Customer,22,Business travel,Eco,1276,4,4,3,neutral or dissatisfied
disloyal Customer,38,Business travel,Business,911,4,4,2,satisfied
Loyal Customer,30,Business travel,Business,416,1,2,1,neutral or dissatisfied
Loyal Customer,48,Business travel,Eco Plus,1597,5,1,5,satisfied
Loyal Customer,34,Business travel,Business,602,4,2,5,neutral or dissatisfied
Loyal Customer,49,Business travel,Business,1635,4,4,4,satisfied
Loyal Customer,18,Business travel,Business,507,4,4,4,satisfied
Loyal Customer,55,Business travel,Business,370,1,1,3,satisfied
disloyal Customer,47,Business travel,Business,783,3,3,1,neutral or dissatisfied
Loyal Customer,47,Business travel,Eco Plus,642,2,3,2,neutral or dissatisfied
Loyal Customer,67,Personal Travel,Eco,237,4,4,1,satisfied
disloyal Customer,37,Business travel,Business,447,5,5,1,satisfied
Loyal Customer,53,Business travel,Business,2704,4,4,2,satisfied
Loyal Customer,53,Personal Travel,Eco,1726,5,5,4,satisfied
disloyal Customer,24,Business travel,Eco,957,4,4,4,satisfied
Loyal Customer,47,Business travel,Business,229,1,1,2,satisfied
Loyal Customer,54,Business travel,Business,808,3,3,4,satisfied
Loyal Customer,52,Business travel,Business,130,1,1,5,satisfied
Loyal Customer,23,Personal Travel,Eco,1609,1,1,5,neutral or dissatisfied
disloyal Customer,29,Business travel,Eco,1121,3,3,3,neutral or dissatisfied
Loyal Customer,37,Business travel,Business,1119,2,1,5,satisfied
Loyal Customer,48,Business travel,Business,895,5,5,2,satisfied
Loyal Customer,49,Business travel,Business,2471,1,1,4,satisfied
disloyal Customer,38,Business travel,Eco,297,2,2,4,neutral or dissatisfied
disloyal Customer,22,Business travel,Business,895,4,4,2,satisfied
Loyal Customer,36,Business travel,Business,3667,1,1,3,satisfied
disloyal Customer,21,Business travel,Business,508,5,5,2,satisfied
disloyal Customer,10,Business travel,Business,1069,3,3,1,neutral or dissatisfied
Loyal Customer,14,Personal Travel,Eco,338,4,1,2,neutral or dissatisfied
Loyal Customer,19,Business travel,Business,3197,5,5,5,satisfied
Loyal Customer,43,Business travel,Business,2169,3,3,5,satisfied
disloyal Customer,25,Business travel,Business,386,4,4,2,neutral or dissatisfied
Loyal Customer,48,Business travel,Business,366,3,3,5,satisfied
Loyal Customer,52,Personal Travel,Eco,200,3,0,3,neutral or dissatisfied
Loyal Customer,58,Personal Travel,Eco,2475,2,2,2,neutral or dissatisfied
disloyal Customer,25,Business travel,Eco,950,2,2,4,neutral or dissatisfied
Loyal Customer,64,Personal Travel,Eco,946,3,3,4,neutral or dissatisfied
disloyal Customer,27,Business travel,Eco,528,2,2,3,neutral or dissatisfied
Loyal Customer,40,Business travel,Business,2356,0,0,5,satisfied
Loyal Customer,43,Personal Travel,Eco,986,5,5,4,satisfied
disloyal Customer,38,Business travel,Eco,927,2,2,1,neutral or dissatisfied
Loyal Customer,75,Business travel,Business,2802,1,5,1,neutral or dissatisfied
disloyal Customer,39,Business travel,Business,338,4,4,4,neutral or dissatisfied
Loyal Customer,39,Business travel,Business,1672,4,2,3,neutral or dissatisfied
Loyal Customer,20,Personal Travel,Business,501,3,3,4,neutral or dissatisfied
Loyal Customer,39,Business travel,Eco,332,2,4,2,satisfied
disloyal Customer,50,Business travel,Business,1670,2,2,2,neutral or dissatisfied
Loyal Customer,27,Business travel,Eco,2136,2,5,2,neutral or dissatisfied
disloyal Customer,23,Business travel,Eco,370,2,2,2,neutral or dissatisfied
Loyal Customer,48,Business travel,Business,2722,1,1,3,satisfied
Loyal Customer,31,Business travel,Business,1028,3,3,5,satisfied
Loyal Customer,42,Business travel,Business,3678,2,2,4,satisfied
Loyal Customer,40,Business travel,Business,1653,3,3,1,satisfied
Loyal Customer,61,Business travel,Business,3504,2,5,3,neutral or dissatisfied
disloyal Customer,25,Business travel,Eco,352,1,1,4,neutral or dissatisfied
Loyal Customer,54,Business travel,Business,2382,4,2,5,satisfied
Loyal Customer,26,Personal Travel,Eco,432,2,4,2,neutral or dissatisfied
Loyal Customer,54,Personal Travel,Eco,101,3,3,1,neutral or dissatisfied
disloyal Customer,48,Business travel,Eco,1119,1,0,2,neutral or dissatisfied
Loyal Customer,39,Business travel,Business,744,5,5,5,satisfied
Loyal Customer,41,Business travel,Business,3479,3,3,2,satisfied
Loyal Customer,25,Personal Travel,Eco Plus,980,4,4,3,neutral or dissatisfied
Loyal Customer,68,Personal Travel,Eco,236,4,0,1,neutral or dissatisfied
disloyal Customer,12,Business travel,Eco,1084,5,5,4,satisfied
Loyal Customer,46,Business travel,Business,134,5,5,3,satisfied
Loyal Customer,38,Business travel,Business,3297,3,3,1,satisfied
Loyal Customer,52,Business travel,Business,3093,4,4,2,satisfied
Loyal Customer,51,Business travel,Business,2643,2,5,5,neutral or dissatisfied
Loyal Customer,57,Business travel,Eco,391,2,1,4,neutral or dissatisfied
disloyal Customer,23,Business travel,Business,480,5,5,3,satisfied
disloyal Customer,39,Business travel,Eco,369,2,3,2,neutral or dissatisfied
Loyal Customer,58,Personal Travel,Eco,280,1,1,3,neutral or dissatisfied
Loyal Customer,24,Business travel,Business,1547,1,1,3,satisfied
Loyal Customer,30,Personal Travel,Eco,140,2,0,4,neutral or dissatisfied
Loyal Customer,43,Business travel,Business,469,4,1,2,neutral or dissatisfied
Loyal Customer,60,Business travel,Business,3822,5,5,2,satisfied
Loyal Customer,60,Business travel,Business,2165,4,4,3,satisfied
disloyal Customer,38,Business travel,Business,213,4,3,2,satisfied
Loyal Customer,53,Business travel,Business,1235,1,1,4,satisfied
Loyal Customer,62,Personal Travel,Eco,2248,4,4,2,neutral or dissatisfied
Loyal Customer,38,Personal Travel,Eco,436,2,2,5,neutral or dissatisfied
Loyal Customer,59,Business travel,Business,296,5,5,5,satisfied
Loyal Customer,18,Personal Travel,Eco Plus,794,2,2,1,neutral or dissatisfied
Loyal Customer,59,Business travel,Eco,542,2,3,2,satisfied
Loyal Customer,7,Personal Travel,Eco,163,1,0,1,neutral or dissatisfied
Loyal Customer,34,Business travel,Business,2431,3,2,5,neutral or dissatisfied
Loyal Customer,46,Personal Travel,Eco,685,2,2,3,neutral or dissatisfied
Loyal Customer,34,Personal Travel,Eco,2521,4,4,5,neutral or dissatisfied
Loyal Customer,40,Personal Travel,Eco,534,2,2,1,neutral or dissatisfied
Loyal Customer,47,Personal Travel,Eco,683,0,0,2,satisfied
Loyal Customer,33,Business travel,Eco,296,2,1,2,neutral or dissatisfied
disloyal Customer,25,Business travel,Business,639,4,4,4,satisfied
Loyal Customer,32,Business travel,Eco Plus,954,1,4,1,neutral or dissatisfied
disloyal Customer,17,Business travel,Eco Plus,302,3,3,4,neutral or dissatisfied
Loyal Customer,19,Personal Travel,Eco,404,3,3,3,neutral or dissatisfied
Loyal Customer,52,Business travel,Business,1235,2,2,4,satisfied
disloyal Customer,39,Business travel,Business,651,5,5,4,satisfied
Loyal Customer,57,Business travel,Eco,453,2,4,2,neutral or dissatisfied
Loyal Customer,54,Business travel,Business,970,1,4,3,neutral or dissatisfied
Loyal Customer,12,Personal Travel,Eco,299,5,3,5,satisfied
disloyal Customer,26,Business travel,Business,237,2,2,5,neutral or dissatisfied
Loyal Customer,43,Personal Travel,Eco,190,1,1,4,neutral or dissatisfied
Loyal Customer,26,Personal Travel,Eco,354,1,1,1,neutral or dissatisfied
disloyal Customer,33,Business travel,Business,1747,2,2,4,neutral or dissatisfied
Loyal Customer,53,Business travel,Eco,1744,2,4,2,neutral or dissatisfied
Loyal Customer,53,Business travel,Business,1605,5,5,5,satisfied
disloyal Customer,36,Business travel,Business,468,3,3,3,neutral or dissatisfied
Loyal Customer,34,Business travel,Business,106,4,4,3,satisfied
Loyal Customer,27,Personal Travel,Eco,746,4,4,5,satisfied
disloyal Customer,36,Business travel,Business,946,4,4,2,neutral or dissatisfied
Loyal Customer,16,Business travel,Business,1096,3,5,3,neutral or dissatisfied
Loyal Customer,42,Business travel,Business,862,5,5,2,satisfied
Loyal Customer,40,Business travel,Business,2333,2,2,3,satisfied
Loyal Customer,62,Business travel,Eco,990,2,1,2,neutral or dissatisfied
Loyal Customer,52,Business travel,Business,1846,2,2,3,satisfied
Loyal Customer,27,Business travel,Business,3008,2,2,5,satisfied
Loyal Customer,25,Business travel,Business,2964,3,3,3,neutral or dissatisfied
Loyal Customer,38,Personal Travel,Eco Plus,543,3,3,5,neutral or dissatisfied
Loyal Customer,27,Personal Travel,Eco,862,1,1,3,neutral or dissatisfied
Loyal Customer,14,Personal Travel,Eco,762,2,2,1,neutral or dissatisfied
disloyal Customer,23,Business travel,Eco,590,3,3,3,neutral or dissatisfied
Loyal Customer,68,Personal Travel,Eco Plus,2125,4,4,5,neutral or dissatisfied
Loyal Customer,33,Business travel,Business,502,5,5,5,satisfied
Loyal Customer,22,Personal Travel,Eco Plus,526,2,2,3,neutral or dissatisfied
Loyal Customer,49,Business travel,Business,3889,1,4,4,neutral or dissatisfied
Loyal Customer,59,Business travel,Business,2372,1,1,5,satisfied
Loyal Customer,51,Personal Travel,Eco,349,2,4,1,neutral or dissatisfied
Loyal Customer,40,Business travel,Business,1009,5,5,5,satisfied
Loyal Customer,20,Business travel,Business,3634,5,5,2,satisfied
Loyal Customer,51,Business travel,Business,1389,2,2,4,satisfied
Loyal Customer,31,Personal Travel,Eco,1020,4,4,4,neutral or dissatisfied
Loyal Customer,38,Business travel,Business,2256,5,5,5,satisfied
Loyal Customer,51,Business travel,Business,1262,2,4,3,satisfied
Loyal Customer,35,Business travel,Business,948,2,2,2,satisfied
Loyal Customer,44,Personal Travel,Eco,2715,1,1,1,neutral or dissatisfied
Loyal Customer,14,Personal Travel,Eco,2677,4,4,4,neutral or dissatisfied
Loyal Customer,44,Business travel,Eco,1927,2,5,2,neutral or dissatisfied
Loyal Customer,37,Personal Travel,Eco,134,2,0,2,neutral or dissatisfied
disloyal Customer,29,Business travel,Eco,925,1,1,1,neutral or dissatisfied
Loyal Customer,14,Personal Travel,Eco,311,2,2,4,neutral or dissatisfied
Loyal Customer,63,Business travel,Business,432,4,4,4,satisfied
Loyal Customer,53,Personal Travel,Eco,184,3,3,2,neutral or dissatisfied
Loyal Customer,54,Business travel,Business,2917,4,4,5,satisfied
Loyal Customer,62,Business travel,Business,2251,3,2,4,neutral or dissatisfied
Loyal Customer,52,Business travel,Eco Plus,837,2,4,3,neutral or dissatisfied
Loyal Customer,8,Personal Travel,Eco Plus,1028,4,4,1,neutral or dissatisfied
disloyal Customer,25,Business travel,Eco,674,4,4,5,neutral or dissatisfied
Loyal Customer,65,Personal Travel,Eco,438,2,2,5,neutral or dissatisfied
disloyal Customer,26,Business travel,Eco Plus,925,2,2,4,neutral or dissatisfied
Loyal Customer,22,Personal Travel,Eco,2521,4,4,4,neutral or dissatisfied
Loyal Customer,46,Business travel,Business,383,1,1,2,satisfied
Loyal Customer,33,Personal Travel,Eco,303,3,1,2,neutral or dissatisfied
Loyal Customer,44,Business travel,Business,2342,3,2,5,neutral or dissatisfied
Loyal Customer,66,Personal Travel,Eco,550,3,3,4,neutral or dissatisfied
Loyal Customer,60,Business travel,Business,1744,2,2,5,satisfied
Loyal Customer,20,Business travel,Business,1687,1,0,1,neutral or dissatisfied
Loyal Customer,77,Business travel,Eco Plus,1190,5,3,5,satisfied
disloyal Customer,33,Business travel,Eco Plus,337,3,3,2,neutral or dissatisfied
Loyal Customer,29,Personal Travel,Business,315,2,3,3,neutral or dissatisfied
disloyal Customer,23,Business travel,Eco,370,1,1,3,neutral or dissatisfied
Loyal Customer,42,Business travel,Business,680,5,5,2,satisfied
Loyal Customer,63,Business travel,Business,3919,2,2,1,neutral or dissatisfied
Loyal Customer,67,Personal Travel,Eco,413,3,1,1,neutral or dissatisfied
disloyal Customer,27,Business travel,Eco,326,2,2,5,neutral or dissatisfied
Loyal Customer,36,Business travel,Business,1189,1,3,2,neutral or dissatisfied
Loyal Customer,23,Business travel,Business,438,4,4,4,satisfied
Loyal Customer,65,Business travel,Business,1923,1,1,4,satisfied
disloyal Customer,25,Business travel,Eco,347,2,2,1,neutral or dissatisfied
Loyal Customer,49,Personal Travel,Eco Plus,151,2,2,4,neutral or dissatisfied
disloyal Customer,26,Business travel,Eco,1195,3,3,1,neutral or dissatisfied
Loyal Customer,57,Business travel,Eco,867,1,0,2,neutral or dissatisfied
Loyal Customer,68,Business travel,Business,1911,3,3,1,neutral or dissatisfied
Loyal Customer,25,Business travel,Business,771,1,2,1,neutral or dissatisfied
Loyal Customer,37,Business travel,Business,3629,3,3,3,satisfied
Loyal Customer,55,Business travel,Business,328,0,0,2,satisfied
Loyal Customer,51,Business travel,Business,1389,1,2,2,neutral or dissatisfied
Loyal Customer,46,Personal Travel,Eco,787,2,2,4,neutral or dissatisfied
Loyal Customer,60,Business travel,Eco,244,4,2,5,satisfied
Loyal Customer,14,Personal Travel,Eco,937,3,3,1,neutral or dissatisfied
Loyal Customer,59,Business travel,Business,1675,5,5,4,satisfied
Loyal Customer,31,Personal Travel,Eco,438,4,4,4,neutral or dissatisfied
Loyal Customer,7,Personal Travel,Business,1306,4,4,4,satisfied
Loyal Customer,53,Personal Travel,Business,134,2,2,5,neutral or dissatisfied
Loyal Customer,38,Business travel,Business,954,5,5,2,satisfied
disloyal Customer,35,Business travel,Business,1123,3,4,5,neutral or dissatisfied
Loyal Customer,38,Business travel,Business,224,2,3,4,neutral or dissatisfied
Loyal Customer,36,Business travel,Eco Plus,356,4,2,4,satisfied
Loyal Customer,66,Personal Travel,Business,2306,3,3,4,neutral or dissatisfied
Loyal Customer,13,Personal Travel,Eco,1440,2,2,5,neutral or dissatisfied
Loyal Customer,59,Personal Travel,Eco,383,3,3,5,neutral or dissatisfied
Loyal Customer,59,Personal Travel,Eco,908,2,2,4,neutral or dissatisfied
Loyal Customer,35,Business travel,Eco Plus,787,3,4,3,neutral or dissatisfied
disloyal Customer,22,Business travel,Eco,764,2,2,3,neutral or dissatisfied
Loyal Customer,55,Business travel,Business,3761,1,4,2,neutral or dissatisfied
disloyal Customer,11,Business travel,Business,784,0,0,0,satisfied
Loyal Customer,49,Business travel,Business,2492,2,3,2,neutral or dissatisfied
Loyal Customer,36,Personal Travel,Eco,2556,3,3,3,neutral or dissatisfied
Loyal Customer,47,Business travel,Business,1595,4,4,2,satisfied
Loyal Customer,44,Business travel,Business,438,1,1,4,satisfied
Loyal Customer,42,Personal Travel,Eco,544,3,3,4,neutral or dissatisfied
Loyal Customer,65,Business travel,Business,3714,1,1,3,satisfied
Loyal Customer,23,Business travel,Eco Plus,725,2,4,2,neutral or dissatisfied
Loyal Customer,49,Business travel,Business,517,4,4,4,satisfied
Loyal Customer,49,Business travel,Eco,1028,3,1,3,neutral or dissatisfied
Loyal Customer,48,Personal Travel,Eco,1947,2,2,2,neutral or dissatisfied
Loyal Customer,51,Personal Travel,Eco,237,2,2,2,neutral or dissatisfied
Loyal Customer,32,Business travel,Business,2296,1,1,5,satisfied
disloyal Customer,25,Business travel,Eco,944,3,4,4,neutral or dissatisfied
Loyal Customer,14,Personal Travel,Eco,283,3,3,3,neutral or dissatisfied
disloyal Customer,33,Business travel,Business,438,1,1,1,neutral or dissatisfied
disloyal Customer,59,Business travel,Business,236,2,2,4,neutral or dissatisfied
Loyal Customer,26,Personal Travel,Eco,1131,5,5,3,satisfied
Loyal Customer,50,Business travel,Eco,190,4,1,3,satisfied
Loyal Customer,38,Business travel,Business,3194,1,5,5,neutral or dissatisfied
Loyal Customer,34,Personal Travel,Eco,671,3,3,5,neutral or dissatisfied
Loyal Customer,57,Business travel,Business,1703,2,2,3,satisfied
Loyal Customer,22,Business travel,Business,2474,3,3,4,satisfied
disloyal Customer,26,Business travel,Business,762,1,1,4,neutral or dissatisfied
Loyal Customer,43,Business travel,Business,2728,2,2,2,neutral or dissatisfied
Loyal Customer,47,Business travel,Business,427,3,3,3,satisfied
Loyal Customer,51,Personal Travel,Eco,628,4,5,2,neutral or dissatisfied
Loyal Customer,30,Personal Travel,Eco,1546,3,3,2,neutral or dissatisfied
Loyal Customer,25,Business travel,Business,2198,2,3,2,neutral or dissatisfied
Loyal Customer,54,Business travel,Business,1554,2,2,2,satisfied
Loyal Customer,15,Personal Travel,Eco,2075,3,3,5,neutral or dissatisfied
Loyal Customer,50,Personal Travel,Eco,328,3,3,5,neutral or dissatisfied
Loyal Customer,52,Business travel,Business,1829,2,2,5,satisfied
Loyal Customer,9,Personal Travel,Eco Plus,313,3,3,4,neutral or dissatisfied
Loyal Customer,49,Business travel,Business,431,5,5,2,satisfied
Loyal Customer,15,Personal Travel,Eco,1121,4,4,4,neutral or dissatisfied
Loyal Customer,58,Personal Travel,Eco,1099,5,5,2,satisfied
Loyal Customer,55,Business travel,Business,3834,2,2,2,satisfied
Loyal Customer,35,Business travel,Business,1773,1,1,5,satisfied
Loyal Customer,42,Business travel,Business,2720,0,0,5,satisfied
Loyal Customer,55,Business travel,Business,3295,3,3,3,satisfied
disloyal Customer,39,Business travel,Eco,326,2,2,5,neutral or dissatisfied
disloyal Customer,56,Personal Travel,Eco,590,2,1,4,neutral or dissatisfied
Loyal Customer,17,Personal Travel,Eco,687,2,2,5,neutral or dissatisfied
Loyal Customer,60,Business travel,Business,3227,1,4,4,satisfied
Loyal Customer,27,Personal Travel,Eco Plus,304,1,1,4,neutral or dissatisfied
Loyal Customer,7,Personal Travel,Eco,813,3,3,4,neutral or dissatisfied
disloyal Customer,48,Business travel,Eco,814,2,3,4,neutral or dissatisfied
disloyal Customer,23,Business travel,Eco,1242,3,3,4,satisfied
Loyal Customer,45,Business travel,Business,1428,4,4,1,satisfied
Loyal Customer,60,Business travel,Business,2256,2,2,4,satisfied
Loyal Customer,51,Business travel,Business,3568,5,5,4,satisfied
Loyal Customer,20,Personal Travel,Eco,2556,1,0,1,neutral or dissatisfied
Loyal Customer,26,Business travel,Business,3299,4,4,4,satisfied
Loyal Customer,41,Business travel,Business,3974,4,1,3,satisfied
Loyal Customer,26,Business travel,Eco,522,4,1,4,satisfied
Loyal Customer,50,Personal Travel,Eco,314,2,2,3,neutral or dissatisfied
Loyal Customer,17,Personal Travel,Eco,853,3,3,1,neutral or dissatisfied
Loyal Customer,21,Personal Travel,Eco,666,2,2,2,neutral or dissatisfied
disloyal Customer,27,Business travel,Business,287,2,2,5,neutral or dissatisfied
Loyal Customer,46,Business travel,Business,1771,3,3,4,neutral or dissatisfied
Loyal Customer,22,Business travel,Eco Plus,944,5,1,5,satisfied
Loyal Customer,41,Business travel,Business,3720,4,4,2,satisfied
Loyal Customer,47,Business travel,Business,1854,3,3,2,satisfied
disloyal Customer,31,Business travel,Business,1910,3,3,3,neutral or dissatisfied
Loyal Customer,51,Business travel,Business,723,4,3,2,neutral or dissatisfied
Loyal Customer,60,Personal Travel,Eco,854,2,2,5,neutral or dissatisfied
Loyal Customer,28,Business travel,Business,337,2,5,2,neutral or dissatisfied
Loyal Customer,48,Business travel,Eco,383,4,5,5,satisfied
disloyal Customer,26,Business travel,Eco,946,1,1,4,neutral or dissatisfied
Loyal Customer,58,Business travel,Business,767,5,5,5,satisfied
Loyal Customer,24,Personal Travel,Eco Plus,936,3,2,1,neutral or dissatisfied
disloyal Customer,38,Business travel,Business,432,2,2,1,neutral or dissatisfied
Loyal Customer,46,Business travel,Eco,546,2,3,3,neutral or dissatisfied
Loyal Customer,40,Business travel,Business,3336,1,1,5,satisfied
Loyal Customer,37,Personal Travel,Eco,1565,3,4,4,neutral or dissatisfied
Loyal Customer,67,Personal Travel,Eco,663,2,2,3,neutral or dissatisfied
disloyal Customer,25,Business travel,Eco,323,4,4,5,satisfied
Loyal Customer,33,Business travel,Eco,188,5,4,5,satisfied
Loyal Customer,32,Business travel,Business,3134,4,4,5,satisfied
Loyal Customer,27,Personal Travel,Eco,622,3,3,1,neutral or dissatisfied
disloyal Customer,24,Business travel,Eco,2704,2,1,2,neutral or dissatisfied
Loyal Customer,27,Business travel,Eco,1751,1,2,1,neutral or dissatisfied
Loyal Customer,8,Personal Travel,Eco,954,1,0,4,neutral or dissatisfied
disloyal Customer,35,Business travel,Eco Plus,2405,2,2,2,neutral or dissatisfied
Loyal Customer,14,Personal Travel,Eco,479,4,4,4,neutral or dissatisfied
Loyal Customer,28,Business travel,Business,787,2,2,5,satisfied
Loyal Customer,26,Business travel,Business,3493,3,3,5,satisfied
Loyal Customer,55,Business travel,Eco,284,4,5,3,satisfied
Loyal Customer,46,Business travel,Eco,557,2,5,2,neutral or dissatisfied
Loyal Customer,46,Business travel,Eco,529,5,3,5,satisfied
disloyal Customer,22,Business travel,Eco,570,0,0,2,satisfied
Loyal Customer,52,Business travel,Business,646,2,2,2,satisfied
Loyal Customer,26,Business travel,Business,2136,5,5,5,neutral or dissatisfied
Loyal Customer,58,Business travel,Business,3399,1,1,5,satisfied
disloyal Customer,9,Business travel,Eco,1047,1,2,2,neutral or dissatisfied
Loyal Customer,41,Personal Travel,Eco,259,1,1,5,neutral or dissatisfied
Loyal Customer,27,Business travel,Business,2611,0,0,4,satisfied
Loyal Customer,58,Personal Travel,Business,1217,4,4,2,neutral or dissatisfied
Loyal Customer,34,Personal Travel,Eco,315,3,3,1,neutral or dissatisfied
Loyal Customer,25,Business travel,Business,1722,2,4,2,neutral or dissatisfied
disloyal Customer,21,Business travel,Business,536,4,4,5,satisfied
Loyal Customer,55,Business travel,Business,2904,4,5,5,neutral or dissatisfied
Loyal Customer,41,Personal Travel,Eco,502,4,4,4,satisfied
Loyal Customer,46,Business travel,Business,3389,5,5,5,satisfied
Loyal Customer,23,Personal Travel,Eco,907,2,2,3,neutral or dissatisfied
disloyal Customer,22,Business travel,Eco,1034,4,4,2,satisfied
Loyal Customer,46,Business travel,Business,1590,4,4,4,satisfied
Loyal Customer,49,Business travel,Eco,436,4,1,2,satisfied
Loyal Customer,52,Business travel,Eco,190,3,5,3,neutral or dissatisfied
Loyal Customer,52,Business travel,Business,2760,3,3,5,satisfied
disloyal Customer,22,Business travel,Business,753,4,4,4,satisfied
Loyal Customer,37,Business travel,Eco,946,4,3,4,satisfied
Loyal Customer,33,Business travel,Eco,223,2,2,2,neutral or dissatisfied
Loyal Customer,50,Business travel,Business,2475,1,1,2,satisfied
disloyal Customer,33,Business travel,Eco,329,3,3,2,neutral or dissatisfied
Loyal Customer,13,Personal Travel,Eco,2338,3,2,4,neutral or dissatisfied
Loyal Customer,13,Business travel,Business,1448,3,3,4,satisfied
Loyal Customer,22,Business travel,Business,335,3,1,3,neutral or dissatisfied
Loyal Customer,69,Personal Travel,Eco,1721,4,4,5,satisfied
Loyal Customer,48,Business travel,Business,2079,4,3,2,satisfied
disloyal Customer,17,Business travel,Eco,1346,4,3,4,neutral or dissatisfied
Loyal Customer,53,Business travel,Business,265,2,2,2,satisfied
disloyal Customer,26,Business travel,Eco,1080,3,4,4,neutral or dissatisfied
Loyal Customer,62,Business travel,Eco,192,1,1,1,neutral or dissatisfied
Loyal Customer,72,Business travel,Eco Plus,270,1,5,1,neutral or dissatisfied
Loyal Customer,48,Personal Travel,Eco,139,1,1,1,neutral or dissatisfied
Loyal Customer,40,Business travel,Business,728,1,4,4,satisfied
Loyal Customer,42,Business travel,Eco,890,2,3,3,satisfied
Loyal Customer,38,Business travel,Eco,404,5,4,5,satisfied
disloyal Customer,37,Business travel,Eco,887,2,2,5,neutral or dissatisfied
Loyal Customer,68,Personal Travel,Eco,1345,2,2,2,neutral or dissatisfied
Loyal Customer,30,Business travel,Eco Plus,853,4,5,4,neutral or dissatisfied
disloyal Customer,57,Business travel,Eco,226,1,1,1,neutral or dissatisfied
Loyal Customer,24,Business travel,Eco,641,3,4,3,neutral or dissatisfied
Loyal Customer,28,Business travel,Business,3758,1,1,4,satisfied
Loyal Customer,28,Business travel,Business,1918,3,3,4,satisfied
Loyal Customer,77,Business travel,Business,3535,3,3,5,neutral or dissatisfied
Loyal Customer,60,Business travel,Business,3565,3,3,5,satisfied
disloyal Customer,28,Business travel,Eco,427,3,3,3,neutral or dissatisfied
Loyal Customer,30,Business travel,Business,3752,5,5,5,satisfied
Loyal Customer,38,Personal Travel,Eco,109,1,1,5,neutral or dissatisfied
disloyal Customer,48,Business travel,Eco,247,4,4,1,neutral or dissatisfied
Loyal Customer,23,Business travel,Eco,157,2,4,2,neutral or dissatisfied
Loyal Customer,38,Business travel,Business,3983,5,5,4,satisfied
Loyal Customer,39,Business travel,Eco,238,5,5,5,satisfied
Loyal Customer,40,Business travel,Business,3777,1,5,2,neutral or dissatisfied
Loyal Customer,46,Business travel,Business,1917,3,3,2,satisfied
Loyal Customer,49,Business travel,Business,2868,4,4,2,satisfied
Loyal Customer,57,Business travel,Business,632,2,2,5,satisfied
Loyal Customer,55,Business travel,Business,2519,4,4,3,satisfied
disloyal Customer,38,Business travel,Eco,134,3,4,2,neutral or dissatisfied
Loyal Customer,36,Business travel,Business,1438,3,3,2,satisfied
Loyal Customer,54,Business travel,Business,2373,1,1,4,satisfied
Loyal Customer,33,Business travel,Business,3585,1,5,4,neutral or dissatisfied
Loyal Customer,25,Business travel,Business,2748,2,4,2,neutral or dissatisfied
disloyal Customer,25,Business travel,Business,1172,5,5,4,satisfied
Loyal Customer,60,Business travel,Business,1061,2,2,4,satisfied
Loyal Customer,33,Personal Travel,Eco,694,2,2,2,neutral or dissatisfied
disloyal Customer,25,Business travel,Eco,191,1,1,3,neutral or dissatisfied
Loyal Customer,44,Personal Travel,Eco,517,3,3,4,neutral or dissatisfied
Loyal Customer,49,Business travel,Eco Plus,977,3,3,3,neutral or dissatisfied
Loyal Customer,68,Personal Travel,Eco,775,2,2,3,neutral or dissatisfied
disloyal Customer,34,Business travel,Eco Plus,481,4,4,1,neutral or dissatisfied
Loyal Customer,51,Business travel,Business,2962,4,4,4,satisfied
Loyal Customer,59,Business travel,Business,861,4,4,5,satisfied
Loyal Customer,25,Personal Travel,Eco,763,4,4,3,satisfied
Loyal Customer,33,Personal Travel,Eco Plus,414,3,3,4,neutral or dissatisfied
Loyal Customer,19,Personal Travel,Eco,507,2,2,3,neutral or dissatisfied
disloyal Customer,35,Business travel,Eco,1133,3,3,5,neutral or dissatisfied
Loyal Customer,30,Personal Travel,Eco,997,3,3,5,neutral or dissatisfied
Loyal Customer,41,Business travel,Business,1576,2,2,2,satisfied
disloyal Customer,37,Business travel,Business,762,2,2,5,neutral or dissatisfied
Loyal Customer,56,Business travel,Eco,2133,3,1,3,neutral or dissatisfied
Loyal Customer,54,Business travel,Business,2517,2,2,5,satisfied
Loyal Customer,28,Business travel,Business,3414,2,2,2,neutral or dissatisfied
Loyal Customer,57,Personal Travel,Eco,404,1,1,1,neutral or dissatisfied
Loyal Customer,57,Business travel,Eco,106,4,2,4,satisfied
Loyal Customer,33,Business travel,Business,325,2,2,5,satisfied
disloyal Customer,26,Business travel,Business,993,4,4,5,satisfied
disloyal Customer,23,Business travel,Eco,692,2,2,4,neutral or dissatisfied
